location_type,location_code,alias,language
city,MGQ,Muqdisho,so
city,MGQ,Mogadiscio,it
city,MGQ,Mogadishu,en
district,BN-ABD,Cabdicasiis,so
district,BN-HWY,Xamar Weyne,so
district,BN-WBR,Waaberi,so
district,BN-YAQ,Yaaqshiid,so
